FG%,3P%,2P%,eFG%,AST%,BLK%,BPM,DBPM,DWS,OBPM,ORB%,OWS,PER,TRB%,TS%,USG%,VORP,WS,WS/48,Wins
0.43042857142857144,0.23883942824564278,0.43957142857142856,0.4528571428571429,13.871428571428572,1.1500000000000001,-2.9,-1.578571428571429,0.7785714285714286,-1.3214285714285712,5.557142857142857,1.1857142857142855,12.864285714285714,8.814285714285715,0.49714285714285705,19.178571428571427,0.22142857142857147,1.9785714285714284,0.04928571428571429,28
0.371253928569938,0.2013373903128257,0.3809717158677001,0.39182760621225354,14.756521739130434,1.0521739130434782,-4.782608695652175,-0.9913043478260871,0.7304347826086957,-3.8043478260869565,4.7,0.4652173913043478,9.873913043478263,8.939130434782607,0.42610632980055085,17.90869565217391,0.12173913043478261,1.2000000000000002,0.0042608695652173924,25
0.43476890872825397,0.2927226656531107,0.44696385916428333,0.4568352746045461,12.23333333333333,1.6888888888888889,-3.677777777777778,-1.3555555555555552,0.8777777777777778,-2.3055555555555554,6.366666666666666,0.8888888888888888,12.872222222222222,9.888888888888888,0.5004691991895928,17.555555555555554,0.23333333333333328,1.7666666666666666,0.06772222222222223,33
0.3846666666666667,0.2506434272682852,0.4027142857142857,0.40828571428571425,12.266666666666667,1.8714285714285717,-5.480952380952381,-1.6476190476190478,0.6523809523809524,-3.8285714285714283,6.614285714285715,0.9238095238095239,9.723809523809523,9.952380952380953,0.4525714285714286,19.104761904761908,0.22380952380952382,1.5761904761904755,0.0012857142857142896,35
0.42543478260869566,0.2725986069109124,0.44608695652173913,0.4441304347826086,10.152173913043478,1.9434782608695653,-4.282608695652175,-1.673913043478261,0.5260869565217391,-2.5913043478260867,7.339130434782609,0.773913043478261,12.165217391304349,11.321739130434782,0.4865217391304348,18.79565217391304,0.15217391304347827,1.3,0.04230434782608696,28
0.4566,0.2733503990877997,0.47219999999999995,0.47420000000000007,12.08,1.4049999999999998,-3.54,-1.6900000000000002,0.4149999999999999,-1.8649999999999995,8.07,0.445,12.55,10.525000000000002,0.5057999999999999,17.874999999999996,-0.14,0.8599999999999998,0.044950000000000004,13
0.4322,0.31088373242113304,0.4492,0.459,10.513333333333332,1.1466666666666663,-3.253333333333333,-2.053333333333333,0.4933333333333333,-1.2066666666666666,6.4799999999999995,1.5666666666666667,12.719999999999999,10.133333333333333,0.5364666666666668,17.220000000000002,0.24666666666666673,2.08,0.0702,26
0.42878947368421055,0.2782896837304209,0.4443157894736841,0.4565789473684211,11.589473684210526,1.2578947368421054,-3.5526315789473686,-1.5421052631578946,0.836842105263158,-2.015789473684211,5.715789473684209,0.736842105263158,11.852631578947369,9.747368421052633,0.5027368421052631,18.042105263157897,0.1842105263157894,1.5789473684210527,0.05810526315789473,30
0.42599999999999993,0.22373449971493742,0.44099999999999995,0.455625,12.3375,1.28125,-3.4562500000000003,-1.5062499999999999,1.0499999999999998,-1.9499999999999997,5.9937499999999995,1.3249999999999997,11.712499999999999,9.75625,0.5020000000000001,17.70625,0.45624999999999993,2.4,0.06275,37
0.44073333333333337,0.33255039908779965,0.4633333333333333,0.47113333333333335,12.193333333333335,1.52,-2.853333333333333,-0.7133333333333334,1.4333333333333331,-2.1266666666666665,5.513333333333333,1.6399999999999997,11.886666666666665,9.666666666666664,0.5085333333333335,17.85333333333334,0.8333333333333333,3.0733333333333333,0.0718,47
0.4553571428571428,0.2646788564912855,0.4778571428571428,0.4797857142857143,10.828571428571427,1.507142857142857,-2.1357142857142852,-0.6857142857142857,1.5642857142857143,-1.4357142857142857,7.314285714285715,2.292857142857143,13.185714285714285,11.285714285714286,0.5157857142857143,18.678571428571427,1.1214285714285714,3.871428571428571,0.095,53
0.4476470588235295,0.3796178818163528,0.4642941176470588,0.48264705882352943,12.864705882352942,1.4000000000000001,-2.294117647058823,-0.2647058823529413,1.1941176470588235,-2.0294117647058822,5.458823529411766,1.1176470588235297,12.16470588235294,10.005882352941176,0.5258235294117647,18.523529411764706,0.5000000000000001,2.3235294117647065,0.06623529411764706,44
0.42300000000000004,0.3058284991448122,0.4426250000000001,0.46474999999999994,14.850000000000001,1.375,-0.5625,0.56875,1.4500000000000002,-1.18125,5.35,1.16875,13.29375,10.375,0.4949375,18.10625,0.6749999999999999,2.61875,0.10162500000000001,40
0.4422689087282539,0.30059733307994435,0.47246385916428335,0.5002241634934349,13.316666666666668,0.9166666666666669,-2.6888888888888887,-0.7499999999999999,1.3166666666666664,-1.9277777777777776,4.366666666666665,1.0777777777777777,12.916666666666666,10.538888888888886,0.5328580880784817,17.85,0.55,2.3944444444444444,0.0903888888888889,44
0.42277777777777786,0.2726946661598887,0.49011111111111105,0.4705555555555556,13.616666666666665,1.2722222222222221,-3.7277777777777765,-1.4444444444444446,1.1277777777777773,-2.277777777777778,9.62777777777778,1.077777777777778,12.072222222222223,12.333333333333334,0.4925,19.244444444444444,0.48888888888888893,2.216666666666667,0.04366666666666666,38
0.44293749999999993,0.316125,0.48606249999999995,0.5045000000000001,14.40625,1.5374999999999996,-0.56875,-0.037499999999999964,1.60625,-0.5437500000000001,4.775,1.8250000000000002,14.25,9.91875,0.5358125,18.90625,1.0125000000000002,3.4312500000000004,0.10975,60
0.43899999999999995,0.2846324703199411,0.5068823529411766,0.4922941176470588,15.576470588235296,1.8411764705882352,-1.011764705882353,0.7294117647058823,1.8764705882352941,-1.7470588235294118,4.094117647058823,1.0588235294117647,13.13529411764706,9.423529411764704,0.5205882352941176,18.41764705882353,0.8529411764705882,2.9470588235294124,0.09858823529411767,48
